,tpv medio,segmento_ord,mcc_ord,bairro_ord,cidade_ord,regiao_ord,uf_ord,subcanal_de_vendas_ord,prob_default_60d,prob_default_mar,estimativa_limite,estimativa_juros_parcelados,estimativa_juros_rotativo
3417,500000.0,14,139,1648,428,4,17,2,0.5946239229969347,0.6003091945216105,78879.23,1.7961956,4.490489065647125
3418,4000.0,14,87,727,455,3,15,2,0.9561255489113133,0.9470857828536575,2827.6455,6.3317995,15.829498767852783
3419,20000.0,10,92,1302,389,1,8,2,0.709649425415185,0.8003349922995312,18979.07,3.576625,8.94156277179718
3420,20000.0,19,89,9,355,1,16,2,0.9869587708316496,0.9899152776968471,10325.732,6.4895954,16.22398853302002
3421,9000.0,10,92,1297,133,3,15,2,0.9346673167643235,0.9263741660807902,7844.893,5.557253,13.893132209777832
3422,20000.0,8,68,1297,545,1,7,2,0.7436650884022588,0.7705216856194923,8095.8774,3.641577,9.103942513465881
3423,130000.0,17,71,1297,305,3,15,2,0.5566689207352694,0.9143175990837372,61919.97,2.6686563,6.671640872955322
3424,10500.0,1,48,948,457,3,14,2,0.8843357460786471,0.8454519131013277,7627.9194,5.740855,14.352138042449951
3425,85000.0,13,98,45,386,3,15,2,0.9898678001982284,0.9949320974200354,46906.53,2.1551313,5.387828350067139
3426,20000.0,18,129,1279,405,3,15,2,0.7853638009106559,0.8915551608947392,17993.744,4.7759995,11.939998865127563
3427,8000.0,14,87,1295,361,3,19,2,0.8646423936039783,0.8305661603737565,6265.141,5.7131605,14.282901287078857
3428,40000.0,17,71,1295,446,3,15,2,0.7826554152448297,0.787746509999551,37571.613,3.1796088,7.949022054672241
3429,35000.0,18,17,605,371,1,8,2,0.8656258859811246,0.9100904941488631,35008.35,2.756646,6.89161479473114
3430,37500.0,13,98,1081,28,3,15,2,0.9635125571749824,0.9736274818961577,33153.418,3.751091,9.377727508544922
3431,200000.0,14,87,1281,372,4,10,2,0.8914154457983144,0.9747683434492994,102816.89,3.0200088,7.550022006034851
3432,35000.0,13,91,1246,324,4,17,2,0.6213650387035896,0.9519625775540641,29989.893,3.1542363,7.8855907917022705
3433,3000.0,4,72,1297,216,1,8,1,0.7728934862853706,0.801580626864196,3986.2532,6.333135,15.8328378200531
3434,30000.0,24,113,1295,35,4,17,2,0.9708421678593967,0.9836245573757258,28287.787,3.022339,7.555847764015198
3435,20000.0,20,101,212,303,3,15,2,0.9865586320487032,0.9900638552395628,19980.936,4.2108707,10.527176856994629
3436,20000.0,4,72,531,349,3,15,2,0.9582221053727477,0.9487689267985194,13090.831,4.01911,10.047775506973267
3437,50000.0,13,98,1384,428,4,17,2,0.7668750335057556,0.7694378757700949,59310.82,2.3732543,5.933135747909546
3438,45000.0,20,101,1316,482,3,15,2,0.8820108720121401,0.8846416679239422,41880.43,3.0159793,7.539948225021362
3439,20000.0,13,98,1389,428,4,17,2,0.8220593051194168,0.9135733699176072,20675.912,3.2713356,8.178339004516602
3440,80000.0,13,91,1297,444,3,15,2,0.9280245904073232,0.9407797412083193,61410.973,2.2886665,5.721666216850281
3441,20000.0,13,98,1309,405,3,15,2,0.7752676255137011,0.8965588084066357,19174.729,3.6985667,9.246416687965393
3442,70000.0,14,87,1279,405,3,15,2,0.8581319170948798,0.8014761697028548,48203.95,2.5092094,6.27302348613739
3443,40000.0,13,98,1031,54,2,2,2,0.8300490795800833,0.913048520680032,16548.434,3.9757493,9.939373135566711
3444,30000.0,21,126,1401,372,4,10,2,0.6459955445605919,0.6936769461612994,23932.16,3.087854,7.719634771347046
